Source URL,Target URL,Status Code,Include subpaths,Subpath matching,Preserve query string,Preserve path suffix
https://prokr.com/services/leaks-plumbing/bathroom-kitchen-waterproofing,https://prokr.co/services-page,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/deals/moving/hafr-al-batin,https://prokr.co/hafr-albatin/furniture-moving,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/saudi/al-majmah/moving,https://prokr.co/majmaah/furniture-moving,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/saudi/makkah/landscaping/garden-design,https://prokr.co/makkah/landscaping,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/saudi/jeddah/ac/split-ac-cleaning,https://prokr.co/jeddah/air-conditioner-cleaning,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/deals/leaks-plumbing/dammam,https://prokr.co/dammam/water-leak-detection,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/carpentry/onaizah,https://prokr.co/onizah,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/emergency/leaks-plumbing/sayhat,https://prokr.co/corporate/acquisition,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/painting-gypsum/al-ahsa,https://prokr.co/al-ahsa,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/ac/qatif,https://prokr.co/qatif/air-conditioner-cleaning,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/emergency/leaks-plumbing/alqunfudhah,https://prokr.co/corporate/acquisition,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/emergency/leaks-plumbing/khobar,https://prokr.co/al-khobar/water-leak-detection,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/emergency/ac/riyadh,https://prokr.co/riyadh/air-conditioner-cleaning,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/saudi/makkah/electricity/panels-distribution,https://prokr.co/makkah,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/saudi/riyadh/car-towing,https://prokr.co/riyadh,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/electricity/najran,https://prokr.co/najran,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/deals,https://prokr.co/corporate/acquisition,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/carpentry/yanbu,https://prokr.co/yanbu,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/faq/cleaning/dhahran,https://prokr.co/dhahran/cleaning,301,FALSE,FALSE,FALSE,FALSE
https://prokr.com/saudi/jubail/pest-control,https://prokr.co/jubail/pest-control,301,FALSE,FALSE,FALSE,FALSE
